Split,Classifier,Parameters,Threshold,Accuracy,Precision,Recall,F1,AUC_ROC
1,DT,"{'max_depth': 5, 'min_samples_split': 10}",0.5,0.580580856871224,0.3374838986689566,0.6567983765071028,0.44586709886547815,0.6425711582492224
1,DT,"{'max_depth': 10, 'min_samples_split': 5}",0.01,0.7384917349035484,0.26993865030674846,0.010504954040826072,0.020222911639664484,0.6385231342367726
1,DT,"{'max_depth': 10, 'min_samples_split': 5}",0.02,0.737387677492563,0.35736196319018404,0.027814253312641757,0.05161147413888582,0.6385231342367726
1,DT,"{'max_depth': 10, 'min_samples_split': 5}",0.05,0.7284325451590149,0.35337423312883437,0.06875969917631611,0.11511941640851403,0.6385231342367726
1,DT,"{'max_depth': 10, 'min_samples_split': 5}",0.1,0.715367865795688,0.36134969325153377,0.14062313477378535,0.20245767809572915,0.6385231342367726
1,DT,"{'max_depth': 10, 'min_samples_split': 5}",0.2,0.6957708467506977,0.38168992485815056,0.2971230750865465,0.3341388105786012,0.6385231342367726
1,DT,"{'max_depth': 10, 'min_samples_split': 5}",0.3,0.6638451866163707,0.36792067061950523,0.429628745374239,0.3963874662701691,0.6385231342367726
1,DT,"{'max_depth': 10, 'min_samples_split': 5}",0.5,0.5813168951452142,0.3382199595166534,0.6582308702399426,0.446839546191248,0.6385231342367726
1,DT,"{'max_depth': 10, 'min_samples_split': 10}",0.01,0.7394117827460361,0.3159509202453988,0.01229557120687597,0.02366999885097093,0.6396999310899372
1,DT,"{'max_depth': 10, 'min_samples_split': 10}",0.02,0.737387677492563,0.35736196319018404,0.027814253312641757,0.05161147413888582,0.6396999310899372
1,DT,"{'max_depth': 10, 'min_samples_split': 10}",0.05,0.7283098721133499,0.3521472392638037,0.06852095022084279,0.11471969621265116,0.6396999310899372
1,DT,"{'max_depth': 10, 'min_samples_split': 10}",0.1,0.7155518753641856,0.36226993865030677,0.14098125820699534,0.20297327489902894,0.6396999310899372
1,DT,"{'max_depth': 10, 'min_samples_split': 10}",0.2,0.6954028276137025,0.3807698205796657,0.29640682822012654,0.3333333333333333,0.6396999310899372
1,DT,"{'max_depth': 10, 'min_samples_split': 10}",0.3,0.6639065231392033,0.36802289920261705,0.42974811985197564,0.3964976044936395,0.6396999310899372
1,DT,"{'max_depth': 10, 'min_samples_split': 10}",0.5,0.5813782316680467,0.3382812979206281,0.6583502447176793,0.4469205834683954,0.6396999310899372
1,SVM,"{'C': 0.001, 'tol': 0.0001}",0.01,0.7427852915018247,0.48466257668711654,0.018861167482392263,0.03630931862576123,0.6673070132727373
1,SVM,"{'C': 0.001, 'tol': 0.0001}",0.02,0.7401478210200264,0.4263803680981595,0.033186104810791456,0.061579355410344455,0.6673070132727373
1,SVM,"{'C': 0.001, 'tol': 0.0001}",0.05,0.7327261017572914,0.39631901840490796,0.0771159126178823,0.1291096232637154,0.6673070132727373
1,SVM,"{'C': 0.001, 'tol': 0.0001}",0.1,0.7259790842457141,0.4144171779141104,0.16127491942222752,0.23219042708601872,0.6673070132727373
1,SVM,"{'C': 0.001, 'tol': 0.0001}",0.2,0.7039899408102555,0.4022389204109799,0.31311925510325894,0.3521278023895825,0.6673070132727373
1,SVM,"{'C': 0.001, 'tol': 0.0001}",0.3,0.6744564050663968,0.3856062154978532,0.45028053002268115,0.4154413789305578,0.6673070132727373
1,SVM,"{'C': 0.001, 'tol': 0.0001}",0.5,0.5945042475542062,0.35140771637122004,0.6838963829533246,0.4642625607779579,0.6673070132727373
1,SVM,"{'C': 0.001, 'tol': 0.001}",0.01,0.7427852915018247,0.48466257668711654,0.018861167482392263,0.03630931862576123,0.6393723065302077
1,SVM,"{'C': 0.001, 'tol': 0.001}",0.02,0.740699849725519,0.4401840490797546,0.03426047511042139,0.06357293166463616,0.6393723065302077
1,SVM,"{'C': 0.001, 'tol': 0.001}",0.05,0.7383690618578833,0.452760736196319,0.088098364569655,0.1474967522734086,0.6393723065302077
1,SVM,"{'C': 0.001, 'tol': 0.001}",0.1,0.7308860060723158,0.43895705521472395,0.17082487764116033,0.24593967517401394,0.6393723065302077
1,SVM,"{'C': 0.001, 'tol': 0.001}",0.2,0.70239519121661,0.3982518018708787,0.31001551868210575,0.34863740099342194,0.6393723065302077
1,SVM,"{'C': 0.001, 'tol': 0.001}",0.3,0.664703897936026,0.36935187078307097,0.4312999880625522,0.39792940139875543,0.6393723065302077
1,SVM,"{'C': 0.001, 'tol': 0.001}",0.5,0.5767779924556077,0.33368091762252344,0.6493971588874299,0.44084278768233387,0.6393723065302077
1,SVM,"{'C': 0.1, 'tol': 0.0001}",0.01,0.7421719262734996,0.4539877300613497,0.017667422705025665,0.03401126048489027,0.6298868883714628
1,SVM,"{'C': 0.1, 'tol': 0.0001}",0.02,0.7408225227711841,0.4432515337423313,0.03449922406589471,0.06401594861003433,0.6298868883714628
1,SVM,"{'C': 0.1, 'tol': 0.0001}",0.05,0.7345048609194345,0.41411042944785276,0.08057777247224543,0.1349055661037274,0.6298868883714628
1,SVM,"{'C': 0.1, 'tol': 0.0001}",0.1,0.7227282485355905,0.39815950920245397,0.15494807210218456,0.22308155022772191,0.6298868883714628
1,SVM,"{'C': 0.1, 'tol': 0.0001}",0.2,0.6960775293648603,0.3824566784235547,0.2977199474752298,0.3348100416163243,0.6298868883714628
1,SVM,"{'C': 0.1, 'tol': 0.0001}",0.3,0.6598583126322569,0.36127581271723574,0.4218694043213561,0.3892284817445895,0.6298868883714628
1,SVM,"{'C': 0.1, 'tol': 0.0001}",0.5,0.5711963688778483,0.32809912286082316,0.6385340814133939,0.4334683954619125,0.6298868883714628
1,SVM,"{'C': 0.1, 'tol': 0.001}",0.01,0.7429079645474898,0.49079754601226994,0.019099916437865586,0.036768930253935427,0.6187161272456061
1,SVM,"{'C': 0.1, 'tol': 0.001}",0.02,0.7409451958168491,0.44631901840490795,0.03473797302136803,0.0644589655554325,0.6187161272456061
1,SVM,"{'C': 0.1, 'tol': 0.001}",0.05,0.7340755052596069,0.4098159509202454,0.07974215112808881,0.13350654541820728,0.6187161272456061
1,SVM,"{'C': 0.1, 'tol': 0.001}",0.1,0.721133498941945,0.3901840490797546,0.1518443356810314,0.21861304459912348,0.6187161272456061
1,SVM,"{'C': 0.1, 'tol': 0.001}",0.2,0.6927653571319042,0.3741757399171906,0.29127372567745013,0.3275607464089139,0.6187161272456061
1,SVM,"{'C': 0.1, 'tol': 0.001}",0.3,0.6531726316435121,0.3501328971580454,0.4088575862480602,0.3772234153863098,0.6187161272456061
1,SVM,"{'C': 0.1, 'tol': 0.001}",0.5,0.5640199957064435,0.32092252959577994,0.6245672675182046,0.4239870340356564,0.6187161272456061
1,RF,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 10}",0.01,0.7402704940656915,0.3588957055214724,0.013966813895189209,0.02688728024819028,0.5931599631303821
1,RF,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 10}",0.02,0.737510350538228,0.3604294478527607,0.028053002268115076,0.05205449108428397,0.5931599631303821
1,RF,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 10}",0.05,0.7301499677983255,0.37055214723926383,0.07210218455294258,0.12071549915059458,0.5931599631303821
1,RF,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 10}",0.1,0.7157358849326831,0.36319018404907977,0.14133938164020532,0.20348887170232877,0.5931599631303821
1,RF,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 10}",0.2,0.6823381482503756,0.3481061186934519,0.27098006446221795,0.30473889112632563,0.5931599631303821
